key,value
panel.accessibility.title,Accessibility
panel.accessibility.no_document,No design document open.
panel.accessibility.missing_labels,Missing Labels
panel.accessibility.no_missing_labels,No missing accessible labels.
panel.accessibility.jump_to_node,Click to select this node in the canvas
panel.accessibility.tab_order,Tab Order
panel.accessibility.no_tab_order,No focusable nodes in this document.
panel.accessibility.contrast,Text/Background Contrast
panel.accessibility.no_selection,Select a node in the canvas to check contrast.
panel.accessibility.contrast_unavailable,This node has no literal textColor/backgroundColor to check (theme-role colors are not resolved here).
panel.accessibility.wcag_pass,Meets WCAG AA
panel.accessibility.wcag_large_only,Meets WCAG AA for large text only
panel.accessibility.wcag_fail,Fails WCAG AA
panel.assets.title,Assets
panel.assets.no_project,No project open.
panel.assets.refresh,Refresh
panel.assets.empty,No files under assets/ for this project.
panel.assets.no_selection,Select a node in the canvas to insert an asset path.
panel.assets.insert,Insert
panel.assets.images,Images
panel.assets.fonts,Fonts
panel.assets.localization,Localization
panel.assets.other,Other
panel.animations.title,Animations
panel.animations.empty,No animate blocks in this document.
panel.animations.play,Play
panel.animations.preview_only,Switch the canvas to Preview mode to play animations.
toolbox.hint,Drag a control onto the Design canvas
toolbox.container_tag,(container)
toolbox.search_hint,Search components...
toolbox.no_results,No components match your search.
panel.properties.title,Properties
properties.column_key,Key
properties.column_value,Value
properties.new_key_hint,new key
properties.empty_selection,Select a component on the canvas to view and edit its properties.
properties.type_label,Type
properties.id_label,Id
properties.type_display,"Type: %s"
properties.id_display,"Id: %s"
properties.readonly_note,Read-only (no editable source for this selection).
properties.column_property,Property
properties.section_events,Events
properties.column_event,Event
properties.column_handler,Handler
properties.add_custom_entry,Add custom: %s
properties.add_no_results,No matching properties
panel.state.title,State
state.empty_selection,Open a .avaui design tab to view and edit its initial state.
state.section_variables,State variables
state.column_name,Name
state.column_initial,Initial value
state.column_evaluated,Evaluated
state.new_variable_hint,new variable
panel.logs.title,Logs
logs.section_label,General logs
logs.copy_all_button,Copy all
logs.empty,Plugin and host events will show up here.
common.copy,Copy
common.copy_all,Copy All
common.select_all,Select All
common.clear,Clear
panel.terminal.title,Terminal
terminal.section_label,Execution console
terminal.stop_button,Stop
terminal.stop_button_tooltip,"Kills the running script. Use this if it looks hung -- it will show up in the console as terminated, not as a crash."
terminal.hung_warning,No output for %s -- the script may be hung.
terminal.copy_console,Copy console
terminal.empty,Press Run (F5) to compile and run the editor's script.
terminal.input_hint,"Type something and press Enter (input() doesn't exist in the language yet)..."
panel.problems.title,Problems
panel.problems.title_with_count,Problems (%s)
problems.section_label,Diagnostics
problems.empty,No problems have been detected.
panel.find_in_project.title,Find in Project
find_in_project.query_label,Find:
find_in_project.case_sensitive,Case sensitive
find_in_project.search_button,Search
find_in_project.empty_hint,Type a search term and press Enter to search the project's .ava/.avaui files.
find_in_project.no_results,No matches found.
find_in_project.results_count,%s matches
find_in_project.results_truncated,Showing the first %s matches -- narrow your search to see more.
panel.build.title,Build
panel.debug.title,Debug
debug.phase.idle,Idle
debug.phase.starting,Starting
debug.phase.running,Running
debug.phase.paused,Paused
debug.phase.ended,Ended
debug.start_button,Start Debugging
debug.continue_button,Continue
debug.step_over_button,Step Over
debug.step_into_button,Step Into
debug.step_out_button,Step Out
debug.pause_button,Pause
debug.stop_button,Stop
debug.stopped_reason,Stopped: %s
debug.section_call_stack,Call Stack
debug.section_variables,Variables
debug.section_breakpoints,Breakpoints
debug.section_log,Log
debug.no_call_stack,No call stack
debug.no_variables,No variables
debug.no_breakpoints,No breakpoints
debug.clear_breakpoints_button,Clear All
menu.run.start_debugging,Start Debugging
build.intro,"Runs 'ava_cli build' in the background to package the current project into a standalone .exe (see runtime/avapack/README.md). This window only holds this machine's local paths -- entry file, output folder, obfuscation, etc. now live in the project's Properties."
build.open_project_properties_button,Open Project Properties...
build.progress_stage_starting,Starting build...
build.progress_stage_configuring,Configuring (CMake)...
build.progress_stage_compiling,Compiling...
build.progress_stage_packaging,Packaging...
build.progress_stage_signing,Signing the executable...
build.progress_stage_done,Done
build.progress_elapsed,(%s)
build.section_target,Target
build.platform_label,Platform
build.platform_value,"%s (detected)"
build.target_label,Target
build.target_readonly_note,"Set in Project Properties > Application."
build.target_desktop,Desktop
build.target_barekernel,BareKernel
build.output_type_label,Output type
build.error_library_barekernel_not_supported,"Library output is not supported for the BareKernel target -- switch Target to Desktop or Output type to Executable to build."
build.section_machine_paths,Machine paths
build.section_machine_paths_note,"Local to this computer -- saved in <project>.avaproj.user, not committed to git."
build.toolchain_dir_label,Cross-toolchain folder
build.toolchain_dir_hint,"(i686-elf-gcc/g++/ld/objcopy/nm)"
build.compiler_path_label,Compiler path
build.compiler_path_hint_desktop,"(optional -- folder with cmake/ninja/gcc/g++/cl.exe, prepended to PATH for this build)"
build.compiler_path_hint_barekernel,"(i686-elf-gcc/g++/ld/objcopy/nm)"
build.barekernel_note,"Encryption, obfuscation, zero-disk, and code signing are desktop-only and don't apply to BareKernel -- that section is hidden below."
build.force_so_label,"Force rebuild libavalang.so"
build.force_so_tooltip,"Same as ava_cli build's --force-so: rebuilds/relinks libavalang.so (the AvaLang\nruntime, cross-compiled) instead of reusing the one already sitting next to\n--out. Needed the first time you build into a clean output folder, or after\nchanging runtime/avalang/."
build.force_runtime_label,"Force rebuild generic runner"
build.force_runtime_tooltip,"Same as ava_cli build's --force-runtime: rebuilds avapack_barekernel_runtime\n(main_barekernel.cpp) instead of reusing the cached .a in\nbuild_pack_barekernel/. Needed the first time you build into a clean repo\ncheckout, or after changing main_barekernel.cpp / app.ld."
build.force_rebuild_warning,"Remember to turn this back off after your next build -- left on, every build force-rebuilds and loses the caching speedup."
build.error_toolchain_dir_missing,"could not find the cross-toolchain folder -- set it above."
build.section_advanced,Advanced
build.default_path_hint,"(default: %s)"
build.detect_button,Detect
common.browse,Browse...
build.obfuscate_label,Obfuscate
build.obfuscate_tooltip,"Compiles the entry to .avbc bytecode instead of embedding plain .ava source.\nAlso produces a <out>.avmap SymbolMap next to the build -- keep it yourself,\nnever distribute it alongside the .exe."
build.obfuscate_strings_label,Obfuscate strings
build.flatten_control_flow_label,Flatten control flow
build.zero_disk_label,Zero-disk
build.zero_disk_tooltip,"Resolves the packaged project against an in-memory virtual filesystem instead\nof a temp dir -- no .ava/.avbc touches disk, not even briefly."
build.zero_disk_disabled_library_tooltip,"Not available for Library output type yet."
build.debug_unencrypted_label,"Debug build (unencrypted)"
build.debug_unencrypted_warning,do not distribute this .exe
build.key_file_label,"AES key file (optional)"
build.key_file_hint,"(default: random key per build)"
build.repo_root_label,AvaLang repo root
build.repo_root_hint,"(default: auto-detect)"
build.auto_detect_button,Auto-detect
build.ava_cli_path_label,ava_cli path
build.ava_cli_path_hint,"(default: auto-detect next to ava_studio.exe)"
build.vcpkg_root_label,"VCPKG_ROOT (optional)"
build.vcpkg_not_found_hint,"(not found -- click Install vcpkg below)"
build.install_vcpkg_button,Install vcpkg
build.installing_vcpkg_button,Installing vcpkg...
build.vcpkg_installing_status,"cloning + bootstrapping + building antlr4/curl -- can take several minutes..."
build.vcpkg_ready,"vcpkg ready at %s"
build.vcpkg_failed,vcpkg install failed -- see log in Output.
build.build_button,Build Executable
build.building_button,Building...
build.building_status,"this can take a while the first time (compiling avapack_gen)..."
build.succeeded,"Build succeeded -> %s"
build.failed,Build failed -- see log below.
build.error_ava_cli_not_found,could not find ava_cli(.exe) -- set its path under Advanced.
build.error_repo_root_not_found,could not find the AvaLang repo root -- set it under Advanced.
build.error_project_dir_missing,project folder does not exist.
build.error_entry_file_missing,could not find an entry .ava file -- set 'Entry script' above.
build.error_entry_file_not_found,"entry script does not exist: %s -- pick the right one."
project_properties.title,Project Properties
project_properties.tab_application,Application
project_properties.tab_build,Build
project_properties.tab_references,References
project_properties.name_label,Project name
project_properties.entry_file_label,"Entry script (.ava)"
project_properties.target_label,Target
project_properties.kind_label,Project kind
project_properties.kind_console,Console
project_properties.kind_desktop_ui,Desktop
project_properties.kind_library,Library
project_properties.kind_desktop_ui_barekernel_tooltip,"Desktop isn't available for the BareKernel target."
project_properties.output_exe_desktop,Executable%s
project_properties.output_exe_plain,Executable
project_properties.output_library_desktop,Library%s
project_properties.output_library_plain,Library
project_properties.modules_path_label,Modules path
project_properties.out_dir_label,Output folder
project_properties.icon_label,Icon
project_properties.icon_hint,"(optional)"
project_properties.section_options,Options
project_properties.section_machine,"This machine (not shared -- .avaproj.user)"
project_properties.machine_note,"These paths are local to this computer and are not committed with the project."
project_properties.add_reference_button,Add Reference...
project_properties.no_references,No references added yet.
panel.settings.title,Settings
settings.language_label,Language
settings.section_general,General
settings.editor_item,Editor
settings.no_plugins,(none)
settings.modules_folder_label,Modules folder
settings.modules_folder_description,"In addition to imports relative to the open file, ""import"" also looks here -- meant for base/shared modules across projects. Leave blank to use the modules folder next to the executable."
settings.modules_folder_hint,"(default: folder next to the executable)"
settings.section_editor,Editor
settings.show_minimap_label,Show minimap
settings.show_inlay_hints_label,Show inlay hints
settings.section_formatting,Formatting
settings.format_on_save_label,Format document on save
settings.format_on_type_label,Format document while typing
menu.view.command_palette,Command Palette...
command_palette.hint,Type a command...
command_palette.no_results,No matching commands.
menu.edit.quick_open,Quick Open...
quick_open.hint,Go to file...
quick_open.no_results,No matching files.
quick_open.no_project_files,No .ava/.avaui files found in this project.
menu.file.new_project,New Project...
new_project.section_location,Location
new_project.name_label,Project name
new_project.name_hint,MyProject
new_project.destination_label,Destination folder
new_project.section_template,Project template
new_project.template_console,Console
new_project.template_console_desc,"A single main.ava -- ideal for scripts, tools and console programs."
new_project.search_hint,Search for templates
new_project.filter_all,All categories
new_project.no_results,No templates match your search.
new_project.create_button,Create Project
new_project.error_name_required,Enter a project name.
new_project.error_destination_required,Choose a destination folder.
new_project.error_destination_missing,Could not find or create the destination folder.
new_project.error_already_exists,"A folder with that name already exists there."
new_project.error_create_failed,Could not create the project folder.
editor.context.implement_interface,Implement Interface '%s'
editor.context.add_import,Add import '%s'
editor.context.remove_unused_import,Remove unused import '%s'
editor.context.rename_unused_variable,Rename '%s' to '_%s' (mark as intentionally unused)
editor.context.remove_unused_variable,Remove unused variable '%s'
editor.context.remove_unused_member,Remove unused member '%s'
editor.context.remove_unreachable,Remove unreachable code
editor.quickfix.tooltip,Quick Fix... (%s)
editor.hint.missing_interface_members,%s does not implement %s:
explorer.new_item_name_label,Name:
build.section_run_target,Build & Run
build.run_target_label,Run target
build.run_target_console,Console
build.run_target_desktop_ui,Desktop (UI)
build.run_target_library,Library
build.run_target_desktop_ui_unsupported_tooltip,"avalang_ui_win doesn't exist yet for this host."
build.debug_mode_checkbox,Debug mode (symbols + extended diagnostics)
build.debug_mode_checkbox_tooltip,"Builds the Console/Library target in Debug config and, on Run, passes --debug-runtime: full VM stack trace on error, extra VM checks, and the temp dir with the decrypted project is kept if the run fails. Independent of the unencrypted debug build below. Not for distribution."
build.build_and_run_button,Build & Run
build.build_only_button,Build
build.run_button,Run
build.stop_button,Stop
build.stop_button_tooltip,"Kills the running process. Use this if it looks hung -- it will show up in Logs as terminated, not as a crash."
build.hung_warning,No output for %s -- the process may be hung.
build.first_run_build_notice,"First build can take several minutes (compiles avalang + avalang_ui + avalang_ui_win + avanative)."
build.error_ui_entry_missing,"could not find a .avaui screen file in the project (expected, e.g. views/Home.avaui)."
build.error_desktop_ui_windows_only,"Desktop (UI) is only supported on Windows for now."
new_project.template_desktop,Desktop
new_project.template_desktop_desc,"Adds app.ava, styles.ava and a starter screen under views/, ready to run as a native desktop window."
new_project.template_library,Library
new_project.template_library_desc,"A single main.ava with no UI files, saved as a reusable module (.dll/.so/.dylib) instead of a standalone executable."
properties.category.identity,Identity
properties.category.layout,Layout
properties.category.appearance,Appearance
properties.category.typography,Typography
properties.category.behavior,Behavior
properties.category.accessibility,Accessibility
properties.category.events,Events
properties.category.advanced,Advanced
properties.source.local,local
properties.source.style,style
properties.source.theme,theme
properties.source.default,default
properties.source.inherited,inherited
properties.enum_no_options_hint,No enum options declared yet for this property; edit as text.
properties.remove_override_tooltip,Remove local override
